,organization_id,day_of,total_meetings,group_meetings,pooled_meetings,prof_feature_meetings,web_conf_tool_meetings
1379,16587a3a2743256b5b16684400a2b991,2020-09-04 00:00:00,1,0,0,0,0
1380,16587a3a2743256b5b16684400a2b991,2020-09-08 00:00:00,1,0,0,0,0
1381,16587a3a2743256b5b16684400a2b991,2020-09-17 00:00:00,1,0,0,0,0
1382,16587a3a2743256b5b16684400a2b991,2020-09-18 00:00:00,2,0,0,0,0
1383,16587a3a2743256b5b16684400a2b991,2020-09-25 00:00:00,2,0,0,0,0
1384,16587a3a2743256b5b16684400a2b991,2020-10-02 00:00:00,1,0,0,0,0
1385,16587a3a2743256b5b16684400a2b991,2020-10-05 00:00:00,1,0,0,0,0
1386,16587a3a2743256b5b16684400a2b991,2020-10-09 00:00:00,1,0,0,0,0
1387,16587a3a2743256b5b16684400a2b991,2020-10-14 00:00:00,1,0,0,0,0
1388,16587a3a2743256b5b16684400a2b991,2020-10-16 00:00:00,1,0,0,0,0
1389,16587a3a2743256b5b16684400a2b991,2020-10-22 00:00:00,1,0,0,0,0
1390,16587a3a2743256b5b16684400a2b991,2020-10-23 00:00:00,1,0,0,0,0
1391,16587a3a2743256b5b16684400a2b991,2020-10-26 00:00:00,1,0,0,0,0
1392,16587a3a2743256b5b16684400a2b991,2020-10-30 00:00:00,1,0,0,0,0
1393,16587a3a2743256b5b16684400a2b991,2020-11-03 00:00:00,1,0,0,0,0
1394,176ec0df0de1045f35a3c45444eadf8a,2020-01-17 00:00:00,1,0,0,0,0
1395,176ec0df0de1045f35a3c45444eadf8a,2020-01-18 00:00:00,1,0,0,0,0
1396,176ec0df0de1045f35a3c45444eadf8a,2020-01-20 00:00:00,3,0,0,0,0
1397,176ec0df0de1045f35a3c45444eadf8a,2020-01-21 00:00:00,3,0,0,0,0
1398,176ec0df0de1045f35a3c45444eadf8a,2020-01-22 00:00:00,1,0,0,0,0
1399,176ec0df0de1045f35a3c45444eadf8a,2020-01-28 00:00:00,3,0,0,0,0
1400,176ec0df0de1045f35a3c45444eadf8a,2020-01-29 00:00:00,1,0,0,0,0
1401,176ec0df0de1045f35a3c45444eadf8a,2020-02-10 00:00:00,1,0,0,0,0
1402,176ec0df0de1045f35a3c45444eadf8a,2020-02-15 00:00:00,1,0,0,0,0
1403,176ec0df0de1045f35a3c45444eadf8a,2020-02-19 00:00:00,1,0,0,0,0
1404,176ec0df0de1045f35a3c45444eadf8a,2020-02-20 00:00:00,2,0,0,0,0
1405,176ec0df0de1045f35a3c45444eadf8a,2020-02-25 00:00:00,1,0,0,0,0
1406,176ec0df0de1045f35a3c45444eadf8a,2020-02-27 00:00:00,1,0,0,0,0
1407,176ec0df0de1045f35a3c45444eadf8a,2020-02-28 00:00:00,1,0,0,0,0
1408,176ec0df0de1045f35a3c45444eadf8a,2020-02-29 00:00:00,1,0,0,0,0
1409,176ec0df0de1045f35a3c45444eadf8a,2020-03-02 00:00:00,1,0,0,0,0
1410,176ec0df0de1045f35a3c45444eadf8a,2020-03-08 00:00:00,1,0,0,0,0
1411,176ec0df0de1045f35a3c45444eadf8a,2020-03-13 00:00:00,1,0,0,0,0
1412,176ec0df0de1045f35a3c45444eadf8a,2020-03-14 00:00:00,1,0,0,0,0
1413,176ec0df0de1045f35a3c45444eadf8a,2020-03-27 00:00:00,2,0,0,0,0
1414,176ec0df0de1045f35a3c45444eadf8a,2020-03-30 00:00:00,1,0,0,0,0
1415,176ec0df0de1045f35a3c45444eadf8a,2020-04-07 00:00:00,1,0,0,0,0
1416,176ec0df0de1045f35a3c45444eadf8a,2020-04-14 00:00:00,2,0,0,0,0
1417,176ec0df0de1045f35a3c45444eadf8a,2020-04-15 00:00:00,1,0,0,0,0
1418,176ec0df0de1045f35a3c45444eadf8a,2020-04-22 00:00:00,1,0,0,0,0
1419,176ec0df0de1045f35a3c45444eadf8a,2020-05-07 00:00:00,1,0,0,0,0
1420,176ec0df0de1045f35a3c45444eadf8a,2020-05-26 00:00:00,1,0,0,0,0
1421,176ec0df0de1045f35a3c45444eadf8a,2020-06-10 00:00:00,2,1,0,0,1
1422,176ec0df0de1045f35a3c45444eadf8a,2020-06-12 00:00:00,1,0,0,0,0
1423,176ec0df0de1045f35a3c45444eadf8a,2020-06-15 00:00:00,1,0,0,0,0
1424,176ec0df0de1045f35a3c45444eadf8a,2020-06-25 00:00:00,1,0,0,0,0
1425,176ec0df0de1045f35a3c45444eadf8a,2020-06-28 00:00:00,1,0,0,0,0
1426,176ec0df0de1045f35a3c45444eadf8a,2020-07-07 00:00:00,1,0,0,0,0
1427,176ec0df0de1045f35a3c45444eadf8a,2020-07-20 00:00:00,1,1,0,0,1
1428,176ec0df0de1045f35a3c45444eadf8a,2020-07-21 00:00:00,1,1,0,0,1
1429,176ec0df0de1045f35a3c45444eadf8a,2020-07-30 00:00:00,1,0,0,0,1
1430,191d12ce9e7d85c521fa79eeb7e83740,2020-01-16 00:00:00,2,0,0,0,0
1431,191d12ce9e7d85c521fa79eeb7e83740,2020-01-21 00:00:00,2,0,0,0,0
1432,191d12ce9e7d85c521fa79eeb7e83740,2020-03-31 00:00:00,1,0,0,0,0
1433,191d12ce9e7d85c521fa79eeb7e83740,2020-04-01 00:00:00,1,0,0,0,0
1434,191d12ce9e7d85c521fa79eeb7e83740,2020-04-08 00:00:00,1,0,0,0,0
1435,1bb4cc098b3a0079fc38e5435d1ae416,2020-01-22 00:00:00,1,0,0,0,0
1436,1bb4cc098b3a0079fc38e5435d1ae416,2020-09-09 00:00:00,1,0,0,0,0
1437,1bb4cc098b3a0079fc38e5435d1ae416,2020-09-28 00:00:00,1,0,0,0,0
1438,1bb4cc098b3a0079fc38e5435d1ae416,2020-09-29 00:00:00,1,0,0,0,0
1439,1bb4cc098b3a0079fc38e5435d1ae416,2020-09-30 00:00:00,1,0,0,0,0
1440,1ddb853f982bd4d21f5c70519b140a5f,2020-01-05 00:00:00,4,0,0,0,1
1441,1ddb853f982bd4d21f5c70519b140a5f,2020-01-06 00:00:00,2,0,0,0,0
1442,1ddb853f982bd4d21f5c70519b140a5f,2020-01-07 00:00:00,2,0,0,0,0
1443,1ddb853f982bd4d21f5c70519b140a5f,2020-01-09 00:00:00,1,0,0,0,0
1444,1ddb853f982bd4d21f5c70519b140a5f,2020-01-11 00:00:00,1,0,0,0,0
1445,1ddb853f982bd4d21f5c70519b140a5f,2020-01-12 00:00:00,1,0,0,0,0
1446,1ddb853f982bd4d21f5c70519b140a5f,2020-01-14 00:00:00,2,0,0,0,1
1447,1ddb853f982bd4d21f5c70519b140a5f,2020-01-15 00:00:00,1,0,0,0,0
1448,1ddb853f982bd4d21f5c70519b140a5f,2020-01-16 00:00:00,3,0,0,0,2
1449,1ddb853f982bd4d21f5c70519b140a5f,2020-01-18 00:00:00,1,0,0,0,0
1450,1ddb853f982bd4d21f5c70519b140a5f,2020-01-19 00:00:00,5,2,0,0,0
1451,1ddb853f982bd4d21f5c70519b140a5f,2020-01-20 00:00:00,2,1,0,0,0
1452,1ddb853f982bd4d21f5c70519b140a5f,2020-01-22 00:00:00,1,0,0,0,1
1453,1ddb853f982bd4d21f5c70519b140a5f,2020-01-23 00:00:00,2,0,0,0,1
1454,1ddb853f982bd4d21f5c70519b140a5f,2020-01-24 00:00:00,2,0,0,0,0
1455,1ddb853f982bd4d21f5c70519b140a5f,2020-01-26 00:00:00,1,0,0,0,0
1456,1ddb853f982bd4d21f5c70519b140a5f,2020-01-28 00:00:00,4,0,0,0,0
1457,1ddb853f982bd4d21f5c70519b140a5f,2020-01-30 00:00:00,1,0,0,0,0
1458,1ddb853f982bd4d21f5c70519b140a5f,2020-01-31 00:00:00,3,0,0,0,1
1459,1ddb853f982bd4d21f5c70519b140a5f,2020-02-01 00:00:00,1,0,0,0,0
1460,1ddb853f982bd4d21f5c70519b140a5f,2020-02-05 00:00:00,2,0,0,0,0
1461,1ddb853f982bd4d21f5c70519b140a5f,2020-02-06 00:00:00,1,0,0,0,1
1462,1ddb853f982bd4d21f5c70519b140a5f,2020-02-07 00:00:00,1,0,0,0,1
1463,1ddb853f982bd4d21f5c70519b140a5f,2020-02-08 00:00:00,1,0,0,0,0
1464,1ddb853f982bd4d21f5c70519b140a5f,2020-02-10 00:00:00,2,0,0,0,0
1465,1ddb853f982bd4d21f5c70519b140a5f,2020-02-11 00:00:00,1,0,0,0,0
1466,1ddb853f982bd4d21f5c70519b140a5f,2020-02-14 00:00:00,2,0,0,0,0
1467,1ddb853f982bd4d21f5c70519b140a5f,2020-02-17 00:00:00,1,0,0,0,1
1468,1ddb853f982bd4d21f5c70519b140a5f,2020-02-18 00:00:00,1,0,0,0,0
1469,1ddb853f982bd4d21f5c70519b140a5f,2020-02-19 00:00:00,2,0,0,0,1
1470,1ddb853f982bd4d21f5c70519b140a5f,2020-02-21 00:00:00,3,0,0,0,1
1471,1ddb853f982bd4d21f5c70519b140a5f,2020-02-24 00:00:00,1,0,0,0,1
1472,1ddb853f982bd4d21f5c70519b140a5f,2020-02-25 00:00:00,7,0,0,0,1
1473,1ddb853f982bd4d21f5c70519b140a5f,2020-02-27 00:00:00,4,0,0,0,3
1474,1ddb853f982bd4d21f5c70519b140a5f,2020-02-29 00:00:00,2,0,0,0,1
1475,1ddb853f982bd4d21f5c70519b140a5f,2020-03-01 00:00:00,1,0,0,0,1
1476,1ddb853f982bd4d21f5c70519b140a5f,2020-03-02 00:00:00,1,0,0,0,0
1477,1ddb853f982bd4d21f5c70519b140a5f,2020-03-03 00:00:00,1,0,0,0,0
1478,1ddb853f982bd4d21f5c70519b140a5f,2020-03-04 00:00:00,1,0,0,0,0
1479,1ddb853f982bd4d21f5c70519b140a5f,2020-03-06 00:00:00,2,0,0,0,1
1480,1ddb853f982bd4d21f5c70519b140a5f,2020-03-07 00:00:00,3,0,0,0,0
1481,1ddb853f982bd4d21f5c70519b140a5f,2020-03-09 00:00:00,1,0,0,0,0
1482,1ddb853f982bd4d21f5c70519b140a5f,2020-03-11 00:00:00,1,0,0,0,1
1483,1ddb853f982bd4d21f5c70519b140a5f,2020-03-13 00:00:00,2,0,0,0,0
1484,1ddb853f982bd4d21f5c70519b140a5f,2020-03-15 00:00:00,1,0,0,0,0
1485,1ddb853f982bd4d21f5c70519b140a5f,2020-03-16 00:00:00,1,0,0,0,0
1486,1ddb853f982bd4d21f5c70519b140a5f,2020-03-17 00:00:00,1,0,0,0,0
1487,1ddb853f982bd4d21f5c70519b140a5f,2020-03-19 00:00:00,2,0,0,0,0
1488,1ddb853f982bd4d21f5c70519b140a5f,2020-03-20 00:00:00,1,0,0,0,0
1489,1ddb853f982bd4d21f5c70519b140a5f,2020-03-22 00:00:00,1,0,0,0,1
1490,1ddb853f982bd4d21f5c70519b140a5f,2020-03-26 00:00:00,3,0,0,0,1
1491,1ddb853f982bd4d21f5c70519b140a5f,2020-03-27 00:00:00,3,0,0,0,0
1492,1ddb853f982bd4d21f5c70519b140a5f,2020-03-28 00:00:00,2,0,0,0,1
1493,1ddb853f982bd4d21f5c70519b140a5f,2020-03-30 00:00:00,2,0,0,0,0
1494,1ddb853f982bd4d21f5c70519b140a5f,2020-04-02 00:00:00,1,0,0,0,1
1495,1ddb853f982bd4d21f5c70519b140a5f,2020-04-05 00:00:00,1,0,0,0,0
1496,1ddb853f982bd4d21f5c70519b140a5f,2020-04-06 00:00:00,1,0,0,0,0
1497,1ddb853f982bd4d21f5c70519b140a5f,2020-04-07 00:00:00,2,0,0,0,1
1498,1ddb853f982bd4d21f5c70519b140a5f,2020-04-09 00:00:00,1,0,0,0,0
1499,1ddb853f982bd4d21f5c70519b140a5f,2020-04-12 00:00:00,2,0,0,0,0
1500,1ddb853f982bd4d21f5c70519b140a5f,2020-04-13 00:00:00,2,0,0,0,0
1501,1ddb853f982bd4d21f5c70519b140a5f,2020-04-14 00:00:00,1,0,0,0,0
1502,1ddb853f982bd4d21f5c70519b140a5f,2020-04-15 00:00:00,1,0,0,0,0
1503,1ddb853f982bd4d21f5c70519b140a5f,2020-04-16 00:00:00,1,0,0,0,0
1504,1ddb853f982bd4d21f5c70519b140a5f,2020-04-22 00:00:00,1,0,0,0,0
1505,1ddb853f982bd4d21f5c70519b140a5f,2020-04-23 00:00:00,1,0,0,0,0
1506,1ddb853f982bd4d21f5c70519b140a5f,2020-05-03 00:00:00,1,0,0,0,0
1507,1ddb853f982bd4d21f5c70519b140a5f,2020-05-04 00:00:00,1,0,0,0,0
1508,1ddb853f982bd4d21f5c70519b140a5f,2020-05-23 00:00:00,7,0,0,0,0
1509,1ddb853f982bd4d21f5c70519b140a5f,2020-05-25 00:00:00,1,0,0,0,0
1510,1ddb853f982bd4d21f5c70519b140a5f,2020-05-29 00:00:00,1,0,0,0,0
1511,1ddb853f982bd4d21f5c70519b140a5f,2020-05-31 00:00:00,1,0,0,0,0
1512,1ddb853f982bd4d21f5c70519b140a5f,2020-06-12 00:00:00,1,0,0,0,0
1513,1ddb853f982bd4d21f5c70519b140a5f,2020-06-13 00:00:00,3,0,0,0,0
1514,1ddb853f982bd4d21f5c70519b140a5f,2020-06-14 00:00:00,1,0,0,0,0
1515,1ddb853f982bd4d21f5c70519b140a5f,2020-06-26 00:00:00,1,0,0,0,0
1516,1ddb853f982bd4d21f5c70519b140a5f,2020-06-27 00:00:00,1,0,0,0,0
1517,1ddb853f982bd4d21f5c70519b140a5f,2020-06-28 00:00:00,1,0,0,0,0
